UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
212828,8649,Waynesboro Branch,216 South Wayne Avenue,Waynesboro City,Waynesboro,VA,22980,Full Service Brick and Mortar Office,08/03/1964,03/20/2010,-78.8895241,38.0672693
212858,8666,Mcguire Circle Branch,415 Belt Boulevard,Richmond City,Richmond,VA,23224,Full Service Brick and Mortar Office,09/20/1911,03/20/2010,-77.4734218,37.5046301
212859,8667,Patterson Avenue Branch,9000 Patterson Avenue,Henrico,Richmond,VA,23229,Full Service Brick and Mortar Office,07/11/1963,03/20/2010,-77.57624799999999,37.5955305
212861,8668,Thompson & Broad Branch,3501 West Broad Street,Richmond City,Richmond,VA,23230,Full Service Brick and Mortar Office,04/28/1948,03/20/2010,-77.4783814,37.5685485
212864,8669,Chamberlayne Avenue Branch,1800 Chamberlayne Avenue,Richmond City,Richmond,VA,23222,Full Service Brick and Mortar Office,09/15/1960,03/20/2010,-77.4428575,37.5597015
212866,8670,Bellwood Plaza Branch,7300 Jefferson Davis Highway,Chesterfield,North Chesterfield,VA,23237,Full Service Brick and Mortar Office,02/01/1967,03/20/2010,-77.438867,37.4238499
212875,8673,Westhampton - Grove Branch,5803 Grove Avenue,Richmond City,Richmond,VA,23226,Full Service Brick and Mortar Office,09/02/1975,03/20/2010,-77.51890689999999,37.5726329
212877,8675,Glenside Branch,7101 West Broad Street,Henrico,Richmond,VA,23294,Full Service Brick and Mortar Office,01/07/1980,03/20/2010,-77.5204688,37.6108085
212880,7724,Bedford Branch,101 North Bridge Street,Bedford,Bedford,VA,24523,Full Service Brick and Mortar Office,11/01/1960,03/20/2010,-79.52376629999999,37.3347319
212882,7725,Big Stone Gap Branch,216 Wood Ave E,Wise,Big Stone Gap,VA,24219,Full Service Brick and Mortar Office,03/11/1963,03/20/2010,-82.7762995,36.8657029
212885,7743,State Street Branch,709 State Street,Bristol,Bristol,VA,24201,Full Service Brick and Mortar Office,03/01/1963,03/20/2010,-82.1859996,36.5952828
212889,7726,Covington Branch,246 West Main Street,Covington City,Covington,VA,24426,Full Service Brick and Mortar Office,12/15/1964,03/20/2010,-79.9953642,37.79309
212892,7727,Lexington Branch,101 South Main Street,Lexington City,Lexington,VA,24450,Full Service Brick and Mortar Office,03/18/1965,03/20/2010,-79.4433363,37.7841294
212894,7728,Marion Branch,102 East Main Street,Smyth,Marion,VA,24354,Full Service Brick and Mortar Office,07/09/1963,03/20/2010,-81.51918979999999,36.8327345
212898,7729,Richlands Branch,201 Suffolk Avenue,Tazewell,Richlands,VA,24641,Full Service Brick and Mortar Office,04/24/1964,03/20/2010,-81.79736919999999,37.0943411
212900,7731,Plaza Branch,4202 Melrose Avenue Nw,Roanoke City,Roanoke,VA,24017,Full Service Brick and Mortar Office,06/28/1957,03/20/2010,-80.00566769999999,37.2960029
212903,7733,South Roanoke Branch,"301 Mc Clanahan Street, S.W.",Roanoke City,Roanoke,VA,24014,Full Service Brick and Mortar Office,04/18/1958,03/20/2010,-79.9480871,37.2512778
212905,7734,Salem Branch,14 West Main Street,Salem,Salem,VA,24153,Full Service Brick and Mortar Office,07/27/1963,03/20/2010,-80.0594733,37.2922763
212906,7735,Riverjack Branch,1432 Apperson Drive,Salem,Salem,VA,24153,Full Service Brick and Mortar Office,10/01/1965,03/20/2010,-80.0375337,37.27110589999999
212909,7736,Wells Fargo Tower Branch,10 South Jefferson Street,Roanoke City,Roanoke,VA,24011,Full Service Brick and Mortar Office,05/01/1969,03/20/2010,-79.93981889999999,37.2727148
212910,7737,Vinton Branch,120 West Virginia Avenue,Roanoke,Vinton,VA,24179,Full Service Brick and Mortar Office,10/17/1969,03/20/2010,-79.9010176,37.2767119
212912,7738,Hershberger Road Branch,"1344 Hershberger Road, N.W.",Roanoke City,Roanoke,VA,24012,Full Service Brick and Mortar Office,03/19/1971,03/20/2010,-79.957347,37.3150401
212921,7749,Four-Sixty East Branch,"3442 Orange Avenue, N.E.",Roanoke City,Roanoke,VA,24012,Full Service Brick and Mortar Office,01/31/1986,03/20/2010,-79.89237469999999,37.3039332
212933,7777,Reston Town Center Branch,11911 Freedom Dr,Fairfax,Reston,VA,20190,Full Service Brick and Mortar Office,10/01/1990,03/20/2010,-77.3564136,38.9591003
212934,7790,Abingdon Branch,332 Cummings Street,Washington,Abingdon,VA,24210,Full Service Brick and Mortar Office,05/08/1991,03/20/2010,-81.9755977,36.7072086
212936,7821,Market Place Branch,2325 North Franklin Street,Montgomery,Christiansburg,VA,24073,Full Service Brick and Mortar Office,06/27/1994,03/20/2010,-80.4215603,37.16105659999999
212937,7822,Pleasant Hill Branch,1795 South Main St,Harrisonburg City,Harrisonburg,VA,22801,Full Service Brick and Mortar Office,06/27/1994,03/20/2010,-78.88882230000002,38.42591120000001
212939,7823,Tanglewood Branch,4206 Electric Road,Roanoke,Roanoke,VA,24018,Full Service Brick and Mortar Office,11/16/1994,03/20/2010,-79.97997289999999,37.2280882
212940,7833,Sudley Road Branch,8118 Sudley Road,Prince William,Manassas,VA,20109,Full Service Brick and Mortar Office,04/29/1996,03/20/2010,-77.5111306,38.7797176
212941,7834,Vienna Branch,212 Maple Ave East,Fairfax,Vienna,VA,22180,Full Service Brick and Mortar Office,06/02/1997,03/20/2010,-77.26256099999999,38.9040389
212962,7819,Purcellville Branch,611 E Main St,Loudoun,Purcellville,VA,20132,Full Service Brick and Mortar Office,12/02/1974,03/20/2010,-77.70565859999999,39.1368032
213025,7803,Winchester Gateway Branch,121 Gateway Drive,Frederick,Winchester,VA,22603,Full Service Brick and Mortar Office,11/12/1957,03/20/2010,-78.1307425,39.1863834
213026,7804,Stonewall Plaza Branch,110 Rivendell Court,Frederick,Winchester,VA,22603,Full Service Brick and Mortar Office,07/01/1963,03/20/2010,-78.1743899,39.2092937
213029,8665,Grafton Branch,101 Amory Lane,York,Yorktown,VA,23692,Full Service Brick and Mortar Office,08/23/1965,03/20/2010,-76.4665662,37.164977
218486,7796,Westover Branch,1701 North Mckinley Road,Arlington,Arlington,VA,22205,Full Service Brick and Mortar Office,05/04/1953,03/20/2010,-77.14128699999999,38.8861487
218495,7797,Clarendon Branch,3140 North Washington Boulevard,Arlington,Arlington,VA,22201,Full Service Brick and Mortar Office,02/12/1973,03/20/2010,-77.0959793,38.8857606
222920,7746,Clintwood Branch,454 Clintwood Main Street,Dickenson,Clintwood,VA,24228,Full Service Brick and Mortar Office,07/09/1940,03/20/2010,-82.4540016,37.1511264
222924,7747,Royal City Branch,20786 Riverside Dr,Buchanan,Grundy,VA,24614,Full Service Brick and Mortar Office,10/19/1978,03/20/2010,-82.1007912,37.2605866
225095,7862,Euclid Avenue Branch,1700 Euclid Avenue,Bristol,Bristol,VA,24201,Full Service Brick and Mortar Office,12/16/1965,03/20/2010,-82.19967729999999,36.5994928
225106,7853,Shops At Stratford Hills Branch,7119 Forest Hill Avenue,Richmond City,Richmond,VA,23225,Full Service Brick and Mortar Office,04/05/1960,03/20/2010,-77.5262473,37.5370999
