UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
199361,58,Garden Grove Branch,12952 Harbor Boulevard,Orange,Garden Grove,CA,92840,Full Service Brick and Mortar Office,11/30/1956,
199365,62,Goleta Branch,195 North Fairview Avenue,Santa Barbara,Goleta,CA,93117,Full Service Brick and Mortar Office,10/24/1965,
199366,63,Hanford Branch,200 West 7th Street,Kings,Hanford,CA,93230,Full Service Brick and Mortar Office,02/02/1935,
199369,66,Southland Branch,950 Southland Drive,Alameda,Hayward,CA,94545,Full Service Brick and Mortar Office,03/20/1961,
199375,72,Inglewood Branch,400 South Market Street,Los Angeles,Inglewood,CA,90301,Full Service Brick and Mortar Office,01/10/1966,
199379,76,La Habra Branch,1190 South Beach Boulevard,Orange,La Habra,CA,90631,Full Service Brick and Mortar Office,09/01/1955,
199381,78,La Mirada Branch,15056 Rosecrans Avenue,Los Angeles,La Mirada,CA,90638,Full Service Brick and Mortar Office,12/14/1956,
199383,80,Lemoore Branch,301 West D Street,Kings,Lemoore,CA,93245,Full Service Brick and Mortar Office,04/01/1935,
199387,85,Long Beach Main Branch,111 West Ocean Boulevard,Los Angeles,Long Beach,CA,90802,Full Service Brick and Mortar Office,01/07/1966,
199390,88,Atwater Branch,3250 Glendale Boulevard,Los Angeles,Los Angeles,CA,90039,Full Service Brick and Mortar Office,04/23/1927,
199394,92,Beverly-Fairfax Branch,137 North Fairfax Avenue,Los Angeles,Los Angeles,CA,90036,Full Service Brick and Mortar Office,10/05/1929,
199400,99,Larchmont Village Branch,245 North Larchmont Boulevard,Los Angeles,Los Angeles,CA,90004,Full Service Brick and Mortar Office,04/01/1922,
199403,102,Monterey Park Branch,2101 South Atlantic Boulevard,Los Angeles,Monterey Park,CA,91754,Full Service Brick and Mortar Office,08/09/1963,
199405,104,Chatsworth Branch,10250 Mason Avenue,Los Angeles,Chatsworth,CA,91311,Full Service Brick and Mortar Office,08/02/1963,
199407,106,Pico-Swall Drive Branch,8901 West Pico Boulevard,Los Angeles,Los Angeles,CA,90035,Full Service Brick and Mortar Office,01/28/1928,
199412,112,Wilshire-Ardmore Branch,3550 Wilshire Boulevard,Los Angeles,Los Angeles,CA,90010,Full Service Brick and Mortar Office,11/12/1927,
199416,118,Sunset-Vermont Branch,1534 North Vermont Avenue,Los Angeles,Los Angeles,CA,90027,Full Service Brick and Mortar Office,04/26/1922,
199421,123,Tarzana Branch,18801 Ventura Boulevard,Los Angeles,Tarzana,CA,91356,Full Service Brick and Mortar Office,11/01/1957,
199432,134,Madera Branch,201 East Yosemite Avenue,Madera,Madera,CA,93638,Full Service Brick and Mortar Office,06/25/1956,
199436,138,Merced Branch,555 West 18th Street,Merced,Merced,CA,95340,Full Service Brick and Mortar Office,12/20/1948,
199437,139,Millbrae Branch,490 Broadway,San Mateo,Millbrae,CA,94030,Full Service Brick and Mortar Office,05/06/1963,
199438,140,Miller Avenue Branch,525 Miller Avenue,Marin,Mill Valley,CA,94941,Full Service Brick and Mortar Office,01/06/1958,
199440,142,Montecito Branch,1482 East Valley Road,Santa Barbara,Montecito,CA,93108,Full Service Brick and Mortar Office,06/16/1958,
199447,149,Novato Branch,1590 Grant Avenue,Marin,Novato,CA,94945,Full Service Brick and Mortar Office,10/02/1950,
199451,154,Oildale Branch,1309 North Chester Avenue,Kern,Bakersfield,CA,93308,Full Service Brick and Mortar Office,06/06/1940,
199460,163,Pasadena-Lake Branch,82 South Lake Avenue,Los Angeles,Pasadena,CA,91101,Full Service Brick and Mortar Office,06/25/1965,
199463,166,Petaluma Branch,125 Western Avenue,Sonoma,Petaluma,CA,94952,Full Service Brick and Mortar Office,10/03/1955,
199467,170,Micron Avenue Branch,9500 Micron Avenue,Sacramento,Sacramento,CA,95827,Full Service Brick and Mortar Office,05/22/1961,
199470,173,Riviera Village Branch,1701 South Elena Avenue,Los Angeles,Redondo Beach,CA,90277,Full Service Brick and Mortar Office,06/27/1955,
199473,176,Reedley Branch,1603 11th Street,Fresno,Reedley,CA,93654,Full Service Brick and Mortar Office,09/05/1957,
199479,182,Fruitridge Branch,5695 Stockton Boulevard,Sacramento,Sacramento,CA,95824,Full Service Brick and Mortar Office,09/04/1951,
199480,183,30th & Capitol Branch,3001 Capitol Avenue,Sacramento,Sacramento,CA,95816,Full Service Brick and Mortar Office,01/30/1950,
199502,206,Marina Branch,2055 Chestnut Street,San Francisco,San Francisco,CA,94123,Full Service Brick and Mortar Office,03/10/1934,
199505,209,16th & Mission Branch,3027 16th Street,San Francisco,San Francisco,CA,94103,Full Service Brick and Mortar Office,02/01/1911,
199511,215,Van Ness-California Branch,1560 Van Ness Avenue,San Francisco,San Francisco,CA,94109,Full Service Brick and Mortar Office,01/31/1949,
199512,216,Meridian Hacienda Branch,3053 Meridian Avenue,Santa Clara,San Jose,CA,95124,Full Service Brick and Mortar Office,09/26/1960,
199523,227,San Rafael Main Branch,1203 4th Street,Marin,San Rafael,CA,94901,Full Service Brick and Mortar Office,06/23/1961,
199526,230,Santa Barbara Main Branch,1036 Anacapa Street,Santa Barbara,Santa Barbara,CA,93101,Full Service Brick and Mortar Office,06/01/1959,
199539,244,South Gate Branch,4300 Tweedy Boulevard,Los Angeles,South Gate,CA,90280,Full Service Brick and Mortar Office,09/16/1950,
199541,247,South San Francisco Branch,333 Linden Avenue,San Mateo,South San Francisco,CA,94080,Full Service Brick and Mortar Office,09/26/1955,
199547,254,Thousand Oaks Branch,140 East Thousand Oaks Boulevard,Ventura,Thousand Oaks,CA,91360,Full Service Brick and Mortar Office,03/29/1963,
199550,257,Hawthorne-Artesia Branch,4340 Artesia Boulevard,Los Angeles,Torrance,CA,90504,Full Service Brick and Mortar Office,01/10/1964,
199551,259,Tracy Branch,1900 West 11th Street,San Joaquin,Tracy,CA,95376,Full Service Brick and Mortar Office,03/10/1958,
199552,260,Tulare Branch,229 East Tulare Avenue,Tulare,Tulare,CA,93274,Full Service Brick and Mortar Office,05/09/1960,
199555,263,Eastridge Branch,2170 Tully Road,Santa Clara,San Jose,CA,95122,Full Service Brick and Mortar Office,06/03/1966,
199562,270,Tiburon Belvedere Branch,1550 Tiburon Boulevard,Marin,Belvedere,CA,94920,Full Service Brick and Mortar Office,12/18/1950,
199575,283,Balboa-Devonshire Branch,10225 Balboa Boulevard,Los Angeles,Northridge,CA,91325,Full Service Brick and Mortar Office,01/26/1968,
199578,286,La Cumbre Plaza Branch,3804 State Street,Santa Barbara,Santa Barbara,CA,93105,Full Service Brick and Mortar Office,10/11/1968,
199591,299,Studio City Branch,12251 Ventura Boulevard,Los Angeles,Studio City,CA,91604,Full Service Brick and Mortar Office,05/07/1971,
199592,300,Dublin Plaza Branch,7181 Regional Street,Alameda,Dublin,CA,94568,Full Service Brick and Mortar Office,09/20/1971,
199593,301,Cerritos Mall Branch,18712 Gridley Road,Los Angeles,Cerritos,CA,90703,Full Service Brick and Mortar Office,04/17/1972,
199597,306,Capitol-Mckee Branch,360 North Capitol Avenue,Santa Clara,San Jose,CA,95133,Full Service Brick and Mortar Office,10/20/1972,
199615,390,Encino Branch,15760 Ventura Boulevard,Los Angeles,Encino,CA,91436,Full Service Brick and Mortar Office,03/24/1975,
199626,407,Cedars Sinai Branch,8625 West 3rd Street,Los Angeles,Los Angeles,CA,90048,Full Service Brick and Mortar Office,01/08/1979,
199630,411,College Square Branch,1045 West March Lane,San Joaquin,Stockton,CA,95207,Full Service Brick and Mortar Office,05/25/1979,
199633,414,Mira Mesa Branch,10707 Camino Ruiz,San Diego,San Diego,CA,92126,Full Service Brick and Mortar Office,12/17/1979,
199638,419,Kearny Mesa Branch,9360 Clairemont Mesa Boulevard,San Diego,San Diego,CA,92123,Full Service Brick and Mortar Office,01/21/1980,
199651,435,Encinitas Branch,276a North El Camino Real,San Diego,Encinitas,CA,92024,Full Service Brick and Mortar Office,06/29/1981,
199652,436,Northridge Branch,8812 Corbin Avenue,Los Angeles,Northridge,CA,91324,Full Service Brick and Mortar Office,07/30/1981,
199653,437,Oakridge-Almaden Branch,1006 Blossom Hill Road,Santa Clara,San Jose,CA,95123,Full Service Brick and Mortar Office,08/24/1981,
199657,441,Puente Hills Branch,17799 East Colima Road,Los Angeles,City Of Industry,CA,91748,Full Service Brick and Mortar Office,10/22/1981,
199668,452,Los Angeles Main Branch,333 South Grand Avenue,Los Angeles,Los Angeles,CA,90071,Full Service Brick and Mortar Office,09/27/1982,
199692,476,Rancho Cucamonga Branch,10540 Foothill Boulevard,San Bernardino,Rancho Cucamonga,CA,91730,Full Service Brick and Mortar Office,02/18/1986,
199696,875,South Natomas Branch,1532 West El Camino Avenue,Sacramento,Sacramento,CA,95833,Full Service Brick and Mortar Office,03/23/1987,
199705,884,Los Altos Center Branch,2096 North Bellflower Boulevard,Los Angeles,Long Beach,CA,90815,Full Service Brick and Mortar Office,05/30/1986,
199715,953,Petaluma Washington Square Branch,333 South Mcdowell Boulevard,Sonoma,Petaluma,CA,94954,Full Service Brick and Mortar Office,10/24/1988,
199716,954,Folsom Branch,1113 East Bidwell Street,Sacramento,Folsom,CA,95630,Full Service Brick and Mortar Office,12/12/1988,
199717,955,Hopyard Hacienda Branch,4767 Hopyard Road,Alameda,Pleasanton,CA,94588,Full Service Brick and Mortar Office,01/05/1989,
199723,1010,Mowry Landing Branch,5191 Mowry Avenue,Alameda,Fremont,CA,94538,Full Service Brick and Mortar Office,01/15/1990,
199724,1011,Woodward Park Branch,8420 North Friant Road,Fresno,Fresno,CA,93720,Full Service Brick and Mortar Office,11/10/1989,
199725,1012,Dana Point Branch,32331 Golden Lantern,Orange,Laguna Niguel,CA,92677,Full Service Brick and Mortar Office,12/18/1989,
199726,1013,Roseville Branch,2000 Douglas Boulevard,Placer,Roseville,CA,95661,Full Service Brick and Mortar Office,04/30/1990,
199729,1016,Oroville Branch,2325 Myers Street,Butte,Oroville,CA,95966,Full Service Retail Office,08/21/1989,
